tmax,wspd,sol,presMax,dir,aptoplay
29.20,3.90,11.30,1014.10,24.00,1
26.50,5.30,13.90,1013.60,99.00,1
25.30,3.90,13.20,1012.70,26.00,1
27.50,4.20,13.50,1011.00,26.00,1
24.50,5.30,3.00,1014.40,25.00,-1
24.00,6.40,9.70,1016.00,25.00,-1
23.30,5.00,13.80,1017.90,25.00,-1
30.50,5.30,13.80,1018.60,28.00,1
34.50,4.20,13.10,1016.60,27.00,1
37.20,3.10,13.70,1012.50,22.00,1
34.70,6.10,13.80,1008.50,13.00,1
30.00,5.80,13.50,1008.00,13.00,1
25.60,5.00,5.50,1010.00,21.00,1
25.60,3.30,11.80,1011.80,20.00,1
25.30,4.40,7.80,1015.10,21.00,1
24.80,5.30,4.50,1015.60,26.00,-1
25.60,4.70,9.80,1014.20,27.00,1
25.90,4.40,13.80,1017.20,26.00,1
33.60,3.90,13.80,1015.30,25.00,1
37.00,3.60,13.40,1011.40,25.00,1
37.20,2.80,13.10,1010.00,13.00,1
37.20,2.80,13.10,1010.00,13.00,1
28.30,4.40,13.60,1015.00,26.00,1
31.00,3.90,13.00,1015.40,28.00,1
33.00,4.20,13.20,1014.60,27.00,1
29.70,4.20,14.00,1013.30,25.00,1
27.70,4.20,13.00,1010.60,22.00,1
28.00,4.20,13.00,1012.60,18.00,1
28.60,5.80,13.60,1014.50,26.00,1
30.40,5.60,13.60,1014.50,26.00,1
31.20,2.80,12.70,1013.60,23.00,1
34.70,4.70,4.20,1014.90,7.00,1
36.80,4.20,11.10,1014.70,27.00,1
30.80,5.00,12.50,1012.20,26.00,1
28.70,5.00,13.60,1012.00,27.00,1
33.70,3.90,12.70,1013.80,15.00,1
40.30,4.20,13.30,1015.10,11.00,1
39.70,3.30,12.80,1014.80,29.00,1
28.90,4.20,13.00,1010.60,20.00,1
28.10,2.50,12.90,1009.10,17.00,1
28.50,3.60,8.50,1010.20,26.00,1
33.50,1.90,11.10,1010.90,12.00,1
36.00,5.60,7.00,1010.80,11.00,1
28.50,3.60,8.10,1012.00,26.00,1
31.10,3.10,11.90,1012.10,26.00,1
30.00,3.90,12.20,1012.30,25.00,1
29.30,5.00,13.00,1012.00,26.00,1
29.80,3.10,11.70,1010.90,20.00,1
30.20,2.80,12.80,1011.20,19.00,1
30.60,3.30,11.80,1010.00,20.00,1
29.20,3.60,11.60,1009.10,15.00,1
31.20,4.20,10.30,1009.00,26.00,1
28.80,4.20,12.20,1012.30,20.00,1
30.00,3.90,8.20,1014.30,18.00,1
28.10,5.60,11.10,1011.10,28.00,1
27.60,5.60,11.80,1011.90,21.00,1
35.30,3.30,12.50,1011.30,25.00,1
36.10,3.30,12.80,1012.90,22.00,1
38.30,3.90,11.40,1013.20,26.00,1
37.10,4.20,13.00,1010.50,27.00,1
29.30,5.30,12.70,1010.90,18.00,1
29.40,3.60,7.50,1011.70,17.00,1
